Player,Season,Team,GP,G,A,P,+/-,P/GP,S,S%
Troy Stecher,20192020,VAN,17,2,1,3,9,0.18,21,9.5
Bryan Rust,20192020,PIT,4,1,2,3,-2,0.75,6,16.7
Adam Lowry,20192020,WPG,4,1,2,3,0,0.75,9,11.1
Vladislav Gavrikov,20192020,CBJ,10,1,2,3,-4,0.3,15,6.7
Phillip Danault,20192020,MTL,10,1,2,3,-1,0.3,24,4.2
Connor Clifton,20192020,BOS,8,1,2,3,-1,0.38,12,8.3
Ryan Ellis,20192020,NSH,4,1,2,3,0,0.75,13,7.7
Jake Guentzel,20192020,PIT,4,1,2,3,1,0.75,13,7.7
Zach Werenski,20192020,CBJ,10,1,2,3,1,0.3,26,3.9
Sean Kuraly,20192020,BOS,10,1,2,3,-4,0.3,11,9.1
Matt Nieto,20192020,COL,14,1,2,3,1,0.21,18,5.6
Robert Thomas,20192020,STL,8,1,2,3,0,0.38,9,11.1
Cal Clutterbuck,20192020,NYI,17,1,2,3,4,0.18,16,6.3
Ryan Graves,20192020,COL,15,1,2,3,9,0.2,33,3
Jonathan Huberdeau,20192020,FLA,4,1,2,3,0,0.75,12,8.3
Drake Caggiula,20192020,CHI,8,1,2,3,0,0.38,8,12.5
Leo Komarov,20192020,NYI,13,1,2,3,1,0.23,13,7.7
Zach Hyman,20192020,TOR,5,1,2,3,0,0.6,13,7.7
Slater Koekkoek,20192020,CHI,9,1,2,3,4,0.33,7,14.3
Matt Calvert,20192020,COL,8,1,2,3,1,0.38,19,5.3
Tom Wilson,20192020,WSH,8,1,2,3,-5,0.38,13,7.7
Dmitry Orlov,20192020,WSH,8,0,3,3,-1,0.38,11,0
Max Domi,20192020,MTL,10,0,3,3,-2,0.3,14,0
Robert Hagg,20192020,PHI,12,0,3,3,1,0.25,12,0
Zach Parise,20192020,MIN,4,0,3,3,2,0.75,6,0
Brayden McNabb,20192020,VGK,17,0,3,3,1,0.18,21,0
Keith Yandle,20192020,FLA,4,0,3,3,-2,0.75,6,0
Mark Giordano,20192020,CGY,10,0,3,3,-1,0.3,24,0
David Savard,20192020,CBJ,10,0,3,3,-4,0.3,20,0
Alexander Kerfoot,20192020,TOR,5,0,3,3,0,0.6,5,0
Vince Dunn,20192020,STL,9,0,3,3,-2,0.33,14,0
Brett Kulak,20192020,MTL,10,0,3,3,2,0.3,19,0
Pat Maroon,20192020,TBL,15,0,3,3,3,0.2,13,0
Sami Vatanen,20192020,CAR,7,0,3,3,-1,0.43,10,0
Luke Kunin,20192020,MIN,4,2,0,2,0,0.5,6,33.3
Andrew Copp,20192020,WPG,4,2,0,2,-2,0.5,7,28.6
Colton Parayko,20192020,STL,9,2,0,2,-4,0.22,38,5.3
Lawson Crouse,20192020,ARI,9,2,0,2,1,0.22,13,15.4
Nikolaj Ehlers,20192020,WPG,4,2,0,2,-2,0.5,14,14.3
Haydn Fleury,20192020,CAR,8,2,0,2,4,0.25,14,14.3
Tomas Tatar,20192020,MTL,10,2,0,2,-1,0.2,13,15.4
Jason Zucker,20192020,PIT,4,2,0,2,0,0.5,12,16.7
James van Riemsdyk,20192020,PHI,12,2,0,2,-3,0.17,23,8.7
Conor Garland,20192020,ARI,8,1,1,2,1,0.25,17,5.9
